Annotation/Divergence,DD6_old_rep1,DD7_old_rep2,DD8_old_rep3,DD9_old_rep4,DD10_old_rep5,DD11_old_rep6,DD18_old121_rep1,DD19_old121_rep2,DD20_old121_rep3,DD21_old121_rep4,DD22_old121_rep5,DD23_old121_rep6
Lrrn4,0.353,0.131,0.584,0.573,0.406,0.47700000000000004,0.711,0.7020000000000001,0.515,0.7190000000000001,0.5589999999999999,0.675
Eln,1.105,1.3119999999999998,1.797,2.1,2.5980000000000003,1.6969999999999998,2.234,1.8980000000000001,2.878,3.15,2.574,3.427
Amer2,9.247,7.149,7.777,4.739,7.6979999999999995,7.556,9.907,11.137,9.338,7.905,11.186,9.452
Card9,1.0070000000000001,1.139,0.6709999999999999,0.853,0.848,0.609,0.701,0.522,0.373,0.674,0.5,0.61
Antxr2,0.39,0.27899999999999997,0.35100000000000003,0.365,0.503,0.43,0.9309999999999999,0.28,0.98,0.85,0.581,0.705
Pmm2,8.084,11.755,9.079,9.667,9.225,8.308,7.165,7.768,7.218,7.875,8.155,7.947
Gmps,7.931,5.485,7.9479999999999995,4.867,6.943,7.5889999999999995,8.82,9.74,9.834,9.016,10.146,9.097000000000001
Fibin,0.816,0.7859999999999999,0.5770000000000001,0.769,0.9840000000000001,0.518,2.197,0.7070000000000001,1.75,1.81,1.077,2.359
Nthl1,1.929,3.091,2.334,2.171,1.507,2.812,1.568,1.103,1.2690000000000001,1.955,1.011,1.591
Mfsd3,1.736,1.5930000000000002,1.5430000000000001,1.89,1.35,1.237,0.8809999999999999,1.416,1.101,1.415,1.3719999999999999,1.263
Cdpf1,3.35,4.378,3.0269999999999997,4.361000000000001,3.512,2.8739999999999997,2.318,2.878,2.161,2.544,3.5069999999999997,2.8810000000000002
Lyz2,3.79,3.091,3.287,3.025,4.414,2.36,9.277000000000001,3.772,7.121,7.761,4.668,6.167999999999999
Sh3bp1,7.89,8.334,6.899,8.737,8.314,7.854,6.468,6.5520000000000005,6.63,6.244,7.409,6.33
Smc5,5.122000000000001,6.377000000000001,5.081,4.473,5.059,5.422000000000001,6.421,6.072,6.632000000000001,5.907,6.197,6.44
Cdc42ep2,4.482,5.375,4.006,4.428,4.592,4.643,3.3160000000000003,2.947,2.7739999999999996,3.162,3.8369999999999997,3.475
Hook3,6.3020000000000005,6.461,6.025,4.785,6.3870000000000005,5.598,7.3389999999999995,6.721,7.836,6.327000000000001,7.018,7.178999999999999
3110062M04Rik,1.2770000000000001,1.101,0.993,1.114,0.981,0.7190000000000001,0.708,0.898,0.6629999999999999,0.899,0.736,0.865
Nynrin,1.138,1.624,1.311,1.212,1.767,1.682,2.006,1.729,1.8780000000000001,1.745,2.019,2.2119999999999997
Scn7a,0.598,0.631,0.9620000000000001,0.629,0.792,0.6659999999999999,1.319,0.828,1.158,1.008,1.351,1.308
Pqbp1,36.774,39.718,39.13,55.994,40.522,41.159,31.910999999999998,32.515,34.258,41.948,33.211,36.0
Ccdc62,0.785,1.065,0.8390000000000001,0.77,0.828,0.946,1.32,0.873,1.176,1.146,1.0959999999999999,1.036
