genename,pvalue,FoldChange,log(pvalue),log2FC,sig,size
Alg2,0.1354743502780577,1.2128823983011168,0.8681429231451042,0.2784396727891424,normal,0.12128823983011168
Chid1,0.2527957407575565,1.2311035187892356,0.5972302475616191,0.29995207763449383,normal,0.12311035187892357
Rps12,0.004757527975669096,1.1795184797696088,2.32261864925366,0.23819802176781302,up,0.11795184797696087
Pfdn6,0.018620577145292177,1.1777562978536202,1.730006862176849,0.23604104659542743,up,0.11777562978536202
Edrf1,0.3403884852187553,1.243277275822742,0.46802513980524774,0.3141480822667976,normal,0.1243277275822742
Tom1,0.013514688682169788,1.1828474844608197,1.8691939540476095,0.24226406556535773,up,0.11828474844608197
Dusp19,0.0023622745917813914,1.1781178034978115,2.626669621216951,0.23648380574280495,up,0.11781178034978115
Gcsh,0.20162477286856229,1.154887269829032,0.6954561088378767,0.20775203502151984,normal,0.1154887269829032
Glis1,0.1411201489492362,1.205341165695131,0.8504109738236697,0.2694415517604932,normal,0.1205341165695131
Cpne7,0.022984501005673,1.1714867895028118,1.6385649203598363,0.2283406854633273,up,0.11714867895028118
Kcnma1,0.39380524139435735,1.2498338579734722,0.4047185078690575,0.3217363283206817,normal,0.12498338579734722
Ehd1,0.13034155093114183,1.193264016862529,0.884917115649539,0.25491328333274266,normal,0.1193264016862529
Cblb,0.5122909968324323,1.2903407352706269,0.29048327648819555,0.36775208283848987,normal,0.1290340735270627
Clic4,0.10151738762667115,1.194039880715938,0.9934595665823722,0.2558510231607239,normal,0.1194039880715938
Acadl,0.1210194653921248,1.1957706043666252,0.9171447699109699,0.257940650668936,normal,0.11957706043666252
Crym,0.04201191579932455,1.1600447102390252,1.376627513603542,0.21418041052273226,up,0.11600447102390252
Epm2aip1,0.09729946188590578,1.1752829446269961,1.0118895615880508,0.23300812161553466,normal,0.1175282944626996
Kif5b,0.057912326098033796,1.1810631091489867,1.2372289909075487,0.2400860560337293,normal,0.11810631091489868
Lynx1,0.057180683385459764,1.1845302832272806,1.2427506585484975,0.24431508241380603,normal,0.11845302832272805
Cyb5r3,0.2958494939935691,1.1419404812554022,0.5289291691822665,0.19148745837556563,normal,0.11419404812554021
Stx7,0.41890039949053604,1.2479886622993357,0.37788922546725356,0.3196048276946946,normal,0.12479886622993357
Lamc1,0.4449131563605493,1.2466431057522518,0.3517247517023752,0.31804850345411567,normal,0.12466431057522517
Slc4a8,0.34441720378271623,1.2289409626300138,0.46291516348639694,0.2974156114252256,normal,0.12289409626300138
Ahnak,0.28553261326459944,1.1524624647768837,0.5443442798807043,0.2047197634423868,normal,0.11524624647768837
Homer3,0.13418423738791022,1.192399594156726,0.8722984977103366,0.2538677894083595,normal,0.1192399594156726
Rpl22,0.1926963659796781,1.142951379631083,0.715126475535801,0.19276403359871827,normal,0.1142951379631083
Prep,0.27436120175886786,1.2100793070208395,0.5616773035096367,0.2751016029513229,normal,0.12100793070208396
Calu,0.17901701655618035,1.1979606675267798,0.747105684968713,0.2605805411019933,normal,0.11979606675267798
Ap1s2,0.11375018462167247,1.1870039766014107,0.944047889790775,0.24732476818413718,normal,0.11870039766014107
Atp6v1f,0.014574288791956314,1.1596766307513797,1.8364126291085758,0.21372257410371737,up,0.11596766307513798
Xpnpep1,0.07065083003579226,1.1786676271002723,1.1508827315104428,0.2371569495841799,normal,0.11786676271002723
Dpysl5,0.2092443590856356,1.1409519136998338,0.6793462411053249,0.19023798941040576,normal,0.11409519136998339
Crk,0.31671628424256537,1.2142652399819422,0.49932960642640045,0.2800835934305219,normal,0.12142652399819423
Gabra2,0.10657418262556664,1.1825572007145884,0.9723479895048257,0.2419099689273781,normal,0.11825572007145883
Erp29,0.1285582507624582,1.1802081550786567,0.8909000454651558,0.23904133231219915,normal,0.11802081550786567
Dpp3,0.022316078683601265,1.1568667250432751,1.6513821159929105,0.210222670673503,up,0.11568667250432751
Ogdh,0.03972591278672453,1.173706856177397,1.400926115173237,0.23107212740161404,up,0.1173706856177397
Snx3,0.015397346366719232,1.1658308160335096,1.8125541205657774,0.2213584415581708,up,0.11658308160335096
Fbxo41,0.2555883955354133,1.2009672368919646,0.5924588683123212,0.2641967939925734,normal,0.12009672368919647
Ube2o,0.08478262434068067,1.1762664640753384,1.0716931445142415,0.234214916342642,normal,0.11762664640753384
Vim,0.18451811825778075,1.1716800162545729,0.7339609830385665,0.22857862607982946,normal,0.11716800162545729
Hnrnpf,0.09690837204227444,1.1778515375589238,1.013638702054487,0.23615770595488994,normal,0.11778515375589238
Rftn2,0.3323103872345037,1.210013100226815,0.47845608349371443,0.2750226669461109,normal,0.12100131002268151
Bcam,0.392754850999093,1.2155943412585084,0.40587844219091146,0.281661864065236,normal,0.12155943412585084
Tdrd5,0.08461469437673497,1.1750282540999888,1.072554209862041,0.23269544747952053,normal,0.11750282540999887
Mrps5,0.06084785902377416,1.1712791083354364,1.215754698132662,0.22808490182628535,normal,0.11712791083354364
Stx6,0.1506168490608153,1.1826423603706275,0.8221264421802643,0.2420138581852031,normal,0.11826423603706275
Cask,0.062320673198365824,1.1683134711080059,1.2053678639883096,0.2244274168007116,normal,0.11683134711080059
Ktn1,0.4024988693443369,1.1333122841095367,0.3952353352668086,0.18054545044229503,normal,0.11333122841095367
Rab3c,0.2743284032878058,1.152222334928966,0.5617292242855475,0.20441912871606047,normal,0.11522223349289659
Dynll2,0.10519606846407262,1.1447225906318765,0.9780004909452529,0.1949980213705977,normal,0.11447225906318766
Ppm1a,0.03240475907217152,1.1644940749359907,1.4893912031574563,0.2197032989887019,up,0.11644940749359907
Tbce,0.11165270296195476,1.143237345626506,0.9521307587792643,0.19312495019414466,normal,0.11432373456265059
Pdia6,0.11002856501205964,1.1721546536468792,0.9584945510542002,0.22916293096298046,normal,0.11721546536468792
Timm9,0.12669923412376943,1.1377632553131167,0.8972260103480193,0.18620039427191384,normal,0.11377632553131167
Iqgap2,0.13707762617762595,1.1757905265640558,0.8630334250102227,0.23363105914921126,normal,0.11757905265640559
Cryl1,0.13260677148725836,1.1507713612752575,0.8774342983711877,0.20260122293968363,normal,0.11507713612752575
Eps15l1,0.021127986230824482,1.1457831167731733,1.675141894832129,0.19633398478616088,up,0.11457831167731733
Hspa2,0.2048748125493458,1.1322587313880788,0.688511430779941,0.17920366474171104,normal,0.11322587313880787
Psmc1,0.10646681029429299,1.137617174655338,0.9727857570376415,0.18601515066336305,normal,0.1137617174655338
Ctnnd1,0.401970486185518,1.131655973976472,0.3958058328789961,0.1784354422048185,normal,0.1131655973976472
Macf1,0.3702483786604007,1.2059955235542807,0.431506834603872,0.27022455221475916,normal,0.12059955235542807
Actn4,0.07888813207358727,1.166304854506711,1.102988327115423,0.22194493656576048,normal,0.11663048545067109
Snd1,0.10717541625970056,1.1699532033014295,0.9699048210532529,0.22645082492392282,normal,0.11699532033014295
Timm10,0.136049018864007,1.1327990441671243,0.8663045858466212,0.17989195321722434,normal,0.11327990441671243
Psmd6,0.19487586299081763,1.1782750299332645,0.7102419485634859,0.23667632864971863,normal,0.11782750299332645
Arpc2,0.5948988036004177,1.3060787732354964,0.22555690448276597,0.3852419124501868,normal,0.13060787732354964
Tacc1,0.09865819797021415,1.1381396977139127,1.0058668213565405,0.186677648004582,normal,0.11381396977139127
Ppp1cc,0.007340032976043691,1.1507561352659728,2.1343019889556407,0.20258213432299674,up,0.11507561352659727
Suclg2,0.3029004276577427,1.1913065322105245,0.5187001134969009,0.25254467734999253,normal,0.11913065322105246
Prune1,0.24615282270180966,1.1741354631185554,0.6087951796889457,0.23159886559888312,normal,0.11741354631185555
Vwde,0.2543310748397359,1.1692593189656293,0.5946005733401233,0.22559492704372458,normal,0.11692593189656293
Wdr45,0.0973311973055411,1.163578433496928,1.0117479341814757,0.2185684619707849,normal,0.11635784334969279
Mapre2,0.06411445771261616,1.1556465994119194,1.1930440266931142,0.20870028432238832,normal,0.11556465994119194
Srsf3,0.01868244883468755,1.1513441153269885,1.728566198465252,0.20331909261696865,up,0.11513441153269885
D2hgdh,0.29000933915063176,1.1178670823986652,0.5375880163207759,0.160748657801656,normal,0.11178670823986651
Rpl19,0.09569619735224162,1.1513211348856054,1.01910531929473,0.20329029662170278,normal,0.11513211348856053
Cpt1c,0.5539825946370137,1.2499401125687288,0.256503879986095,0.32185897379147,normal,0.12499401125687289
Nagk,0.13313109979881543,1.1359310135016791,0.8757204802629942,0.1838752208451145,normal,0.11359310135016791
Hspg2,0.39907189834078893,1.1964923066060842,0.3989488530859826,0.2588111204393591,normal,0.11964923066060842
Asah1,0.011429714502999754,1.1392497044685104,1.9419646174892617,0.18808399631329667,up,0.11392497044685104
Coro1b,0.20536381760755254,1.1295012792919736,0.6874760709509309,0.1756859047523705,normal,0.11295012792919737
Srsf7,0.2612941066320488,1.179850842214321,0.5828703854737632,0.2386044843334385,normal,0.1179850842214321
Cyb5b,0.35800490520246375,1.1163776548822661,0.4461110228316329,0.15882515320600699,normal,0.11163776548822661
Ablim1,0.09397145827530069,1.158025624040671,1.0270040335894512,0.2116671767014174,normal,0.1158025624040671
Vps51,0.35464409438786537,1.1807878089671824,0.4502072677232941,0.23974973149622592,normal,0.11807878089671824
Pebp1,0.12297582641883609,1.1392748732443159,0.9101802502247458,0.1881158685769505,normal,0.11392748732443159
Rnf141,0.4426611233603712,1.2120834420323077,0.3539286181870823,0.2774890199845266,normal,0.12120834420323076
Pmpcb,0.17448692205271327,1.1619580542421468,0.7582371182359442,0.21655798954356195,normal,0.11619580542421468
Actn2,0.000267232555452196,1.138894301420456,3.5731106352983146,0.18763385951967954,up,0.1138894301420456
Ppm1f,0.22505377879491428,1.1712144843210162,0.6477136905859697,0.22800530054546025,normal,0.11712144843210162
Mgst3,0.14848165622355833,1.1224140914858838,0.8283271968044928,0.16660502667663898,normal,0.11224140914858838
Rbx1,0.08630829602977808,1.1525551841663098,1.063947457508535,0.20483582832670788,normal,0.11525551841663098
Khdrbs3,0.06560451897355132,1.1514386150889533,1.1830662445011249,0.2034375009550437,normal,0.11514386150889533
Vat1,0.013226549792629,1.138942084601453,1.8785534287859507,0.18769438762318646,up,0.11389420846014531
Fam162a,0.16573583188409255,1.15028931680977,0.7805835874936503,0.20199676850122128,normal,0.11502893168097701
Rac3,0.005738294820826246,1.1398455029880767,2.241217142432169,0.188838291777844,up,0.11398455029880768
Nptxr,0.03824090589439827,1.1463080962349717,1.4174718282087417,0.19699485314519524,up,0.11463080962349717
Cnn3,0.3909308372743746,1.1839631808889246,0.40790007034576703,0.24362421646103646,normal,0.11839631808889246
Tmem43,0.4617884108634501,1.1267632310545896,0.33555697042535815,0.17218439104707603,normal,0.11267632310545897
Kctd12,0.3351879970599002,1.162841110237715,0.47471154166462837,0.21765398147814988,normal,0.1162841110237715
Dnaja2,0.10095067712352387,1.1489154706441524,0.9958907636938561,0.20027265823771812,normal,0.11489154706441525
Vta1,0.030829948420586444,1.1410782186473298,1.511027201860369,0.19039768889815165,up,0.11410782186473298
