Annotation/Divergence,pvalue,FoldChange,log(pvalue),log2FC,sig,size
Nadsyn1,0.4716575076577758,1.0997200839748074,0.32637324824233965,-0.13713635570293434,normal,0.10997200839748074
Gm2694,0.04561208898052476,0.6244873611214674,1.3409200371223748,0.6792557211836698,up,0.06244873611214674
Anks1b,0.008160407981981171,0.9416758182063766,2.0882881280238506,0.08669761250292306,normal,0.09416758182063766
Rara,0.6580972252188966,1.0510873712323543,0.1817099403421743,-0.07188259775352437,normal,0.10510873712323543
Ube2l6,0.5644218032450954,1.0591073582629673,0.24839621808186596,-0.08284883803960763,normal,0.10591073582629673
Psmc5,0.08097891327297044,0.8580648292906883,1.0916280557068876,0.22084144324307592,normal,0.08580648292906883
Cep63,0.17174606471021767,0.9153071579111699,0.7651132053264462,0.12767213200057181,normal,0.09153071579111699
6430584L05Rik,0.4169043635520605,0.7883872279845433,0.3799635592832398,0.34302369023682866,normal,0.07883872279845433
Pip4k2b,0.8018391371479912,0.9930400691588064,0.09591274999046491,0.010076163225939504,normal,0.09930400691588064
Serinc3,0.07494663293220273,1.0555039845870915,1.1252478735803693,-0.07793202495052257,normal,0.10555039845870914
Esr1,0.02196085682662374,1.2011998154130135,1.658350719421613,-0.2644761583104388,down,0.12011998154130135
Plce1,0.24426592363098928,1.1499104343931927,0.6121371151438696,-0.20152149517929885,normal,0.11499104343931928
Plekhg1,0.5845918652915012,1.075608549920325,0.23314723222797173,-0.10515312822843295,normal,0.1075608549920325
Tlr13,0.23247862613426223,1.1269151612165562,0.6336169695639124,-0.17237890761369384,normal,0.11269151612165562
Mesdc2,0.5877750362233278,0.9734309271411745,0.23078886307573,0.03884948328265706,normal,0.09734309271411745
Brwd1,0.9017552559651312,0.9928835515525534,0.04491131767607973,0.01030357093937381,normal,0.09928835515525533
Nrros,0.9755714030214987,1.0026164311878598,0.01074093866989714,-0.003769782758723765,normal,0.10026164311878598
Pdia5,0.14964883181412486,0.7747357477040374,0.8249266689919127,0.36822378512857923,normal,0.07747357477040374
Zfp322a,0.009008629885366716,1.0973168963016677,2.045341255466171,-0.1339802246480331,normal,0.10973168963016677
Slbp,0.536541179504815,1.0290165140068195,0.27039694034222045,-0.04126613527811023,normal,0.10290165140068194
Nat8f1,0.1718631595125787,0.858995269939651,0.7648172084502941,0.21927790770685612,normal,0.08589952699396511
Myt1l,0.6689180806252099,1.0172529160027537,0.17462706505852776,-0.024678415969925073,normal,0.10172529160027537
Hnrnpf,0.9164734058373949,0.9904274849200103,0.03788013284649206,0.013876744180494316,normal,0.09904274849200104
Nebl,0.007949301499433119,1.354757174115339,2.0996710308742497,-0.43803428693440005,down,0.1354757174115339
Svil,0.08972965589296522,1.2094942006457012,1.0470639977351772,-0.2744038518149477,normal,0.12094942006457013
Ipo5,0.07155768639355749,1.087762286257752,1.1453437095070473,-0.12136331218805028,normal,0.10877622862577521
Gdpd3,0.07940778620190406,0.8610053859964093,1.1001369114427713,0.21590583249636236,normal,0.08610053859964092
C4b,0.7888627367148792,1.0215245185305066,0.10299855810026673,-0.030723831910456634,normal,0.10215245185305066
11-Mar,0.12165462935391073,0.8760648244338249,0.9148713601026273,0.19089046886337332,normal,0.0876064824433825
Trp53rkb,0.23642469233891958,0.8293548387096774,0.6263071674417076,0.2699386053279439,normal,0.08293548387096775
Fbxw5,0.08443818658502336,0.8911045720875632,1.073461102277865,0.16633335137846603,normal,0.08911045720875632
Purb,0.007489265229294914,1.1033910329171395,2.1255607887779613,-0.14194416107889415,normal,0.11033910329171395
Tspyl4,0.2276766532744284,1.0819948436668916,0.6426815011105056,-0.11369362390231576,normal,0.10819948436668916
Plxna4os1,0.5367720135050058,0.7712691771269178,0.27021013571759256,0.37469363846719755,normal,0.07712691771269178
Zfp800,0.0003062496661090986,1.3827608743010678,3.513924376119836,-0.46755168773348776,down,0.13827608743010678
Dpy19l2,0.9548212188394739,0.9838998211091234,0.02007793830112207,0.02341666443116814,normal,0.09838998211091235
Ahcy,0.13754136103662365,0.6482694106641721,0.8615666824240475,0.625334595583277,normal,0.0648269410664172
Ifi202b,0.1793800440187408,1.4482288828337873,0.746225873747958,-0.5342896286878916,normal,0.14482288828337872
Zxda,0.1906751527751136,1.1341088674275681,0.7197058969682915,-0.18155913671674856,normal,0.11341088674275682
Cenpc1,0.8571160305713982,1.009468123982592,0.06696038224726808,-0.013595355346649459,normal,0.1009468123982592
Abcd1,0.09328633205186397,0.9592771084337347,1.030181982719595,0.05998046503030027,normal,0.09592771084337347
Il6ra,0.29572247723494915,1.116584868969349,0.5291156644217587,-0.15909291115850424,normal,0.11165848689693489
Brpf3,0.13089636468951787,0.9308905647343272,0.8830724146960408,0.10331652000875916,normal,0.09308905647343271
Shtn1,0.8867078594252216,0.9912166656588256,0.05221944210492729,0.012727650688494437,normal,0.09912166656588256
Gm867,0.5858523012232133,0.8200256191289496,0.2322118598331152,0.2862591119701501,normal,0.08200256191289496
Cobll1,0.17506355986700237,1.143078334671407,0.7568042445256957,-0.19292427421688144,normal,0.11430783346714071
