FQ,lab1,lab2,non1,non2
A2A547,10398,11311.49659,9562.868757,9293.292163
Q8BGD5,1706.6,2903.855444,1580.715923,2107.82515
D3YXG2,18606,16991.45695,15355.0049,15982.68773
Q05793,15849,21263.61291,14567.96968,16449.87532
Q9WV54,21076,20527.69342,18263.38668,18255.11603
Q9WUM3,69301,70715.17202,66259.50433,57703.32297
A0A3Q4EH04,30584,34921.1316,25377.97652,30141.86485
Q9CQX2,40989,39860.71236,39724.42967,32697.04169
Q8K4G5,24895,26720.88595,21565.28607,23007.03157
Q3UVL4,13151,16942.07707,12389.55003,13096.04259
P70296,141660,132013.1233,115781.48,124435.4595
H3BJE9,8571.4,11074.15459,6795.606037,9412.481549
Q9CXT8,7427.6,8449.056527,6672.859816,6990.849015
Q9JI91,21992,21978.8247,19347.51466,19260.83086
Q8CGA0,28033,31668.43121,23746.57241,27227.37985
Q9CPU4,12230,11567.31622,11058.62657,10143.27779
A0A2R8W6G1,26524,27181.23385,22229.83567,24366.83457
A0A2R8VHM1,11810,12204.63523,10050.85665,10805.34438
Q62465,16090,15791.04803,13826.54081,14165.26708
A0A338P6X2,21341,24044.8151,20031.60983,19424.39001
P60764,63920,65084.27296,56742.11161,56434.8695
F7BX42,107040,111402.5991,93513.85619,97048.00045
A0A0G2JFI6,13922,18386.83675,13046.02079,14242.69669
Q9DBS1,14252,11565.08616,10572.59324,12340.01648
A0A0R4J2B2,30233,29885.97688,22509.98893,29190.08974
Q9QYJ0,13406,14522.7816,11877.45593,12431.36601
Q9CR26,28292,29400.14259,24957.09511,25602.22821
A0A0A6YY72,12548,12652.39923,11182.67583,11065.47304
Q920I9,27344,27770.60659,20641.43182,26725.39243
Q8BTI8,4869.7,4242.528026,4326.348206,3928.11678
E0CXB1,50566,54048.66653,42751.38795,47975.03305
Q8BGN8,85676,84431.62799,77749.69723,73676.44075
P17742,753900,679212.2663,646932.5213,637184.7201
A0A0N4SUX2,6505.3,8352.048959,6171.320323,6521.57343
P23242,33419,32049.13414,29339.21336,28918.65114
