uniprot,gene
A0A0A0MQM0,A0A0A0MQM0
P63248,IPKA
P63276,RS17
P63318,KPCG
P63321,RALA
P63328,PP2BA
P67778,PHB
P67984,RL22
P68040,RACK1
P68254-2,1433T
P68368,TBA4A
P68404-2,KPCB
P68510,1433F
P70168,IMB1
Q52KF7,Q52KF7
P70206,PLXA1
P70207,PLXA2
P70232,NCHL1
P70280,VAMP7
B7ZCM0,B7ZCM0
P70296,PEBP1
A0A1B0GR78,A0A1B0GR78
P70333,HNRH2
P70336,ROCK2
P70372,ELAV1
P70398,USP9X
P70404,IDHG1
H3BKV8,H3BKV8
P70441,NHRF1
P70663,SPRL1
P70670,NACAM
P70699,LYAG
P70704-3,AT8A1
P80313,TCPH
P80314,TCPB
P80315,TCPD
P80316,TCPE
P80317,TCPZ
Q3U0I3,Q3U0I3
P83093,STIM2
P83510-2,TNIK
P84075,HPCA
P84084,ARF5
P84086,CPLX2
Q3TWV4,Q3TWV4
P84096,RHOG
P97300,NPTN
P97315,CSRP1
P97333,NRP1
P97351,RS3A
P97370,AT1B3
P97379,G3BP2
P97441,ZNT3
E9Q1R5,E9Q1R5
P97450,ATP5J
Q91V55,Q91V55
P97492,RGS14
A0A494BAD3,A0A494BAD3
P97765,WBP2
P97797-2,SHPS1
P97807-2,FUMH
P97825,JUPI1
P98203-4,ARVC
P99024,TBB5
P99027,RLA2
P99028,QCR6
P99029-2,PRDX5
A3KG36,A3KG36
Q01097,NMDE2
F7C376,F7C376
Q01853,TERA
Q02053,UBA1
Q02248,CTNB1
Q02257,PLAK
Q02357-6,ANK1
Q03137-2,EPHA4
Q03141-2,MARK3
Q03173-6,ENAH
Q03265,ATPA
Q4W8U9,Q4W8U9
Q04447,KCRB
Q05512,MARK2
G5E8R3,G5E8R3
Q06185,ATP5I
Q06890,CLUS
A0A2C9F2D2,A0A2C9F2D2
Q08460-5,KCMA1
Q08509,EPS8
A0A2I3BQT2,A0A2I3BQT2
Q0PHV7,DACT3
A0A1B0GS08,A0A1B0GS08
E9Q039,E9Q039
Q14BB9,MA6D1
Q14BI2,GRM2
Q14CH0,F171B
Q2M3X8,PHAR1
D3Z7E5,D3Z7E5
A0A0R4J1H0,A0A0R4J1H0
E0CYX9,E0CYX9
A0A0R4J094,A0A0R4J094
Q3TDD9,PPR21
Q3TDK6-3,ROGDI
Q3TDN2-2,FAF2
Q3TES0,IQEC3
D6RFA8,D6RFA8
Q6ZWQ9,Q6ZWQ9
Q3TL44,NLRX1
A0A0N4SW14,A0A0N4SW14
Q3TXX4,VGLU1
E9Q8P8,E9Q8P8
Q3U0V1,FUBP2
Q3U1F9,PHAG1
A0A1D5RM97,A0A1D5RM97
Q3UH99-2,SHSA6
Q3UHB1,NT5D3
Q3UHB8,CC177
Q3UHD9,AGAP2
Q3UHJ0,AAK1
A0A0A6YW88,A0A0A6YW88
Q3UHX2,HAP28
A2AP32,A2AP32
Q3UJU9,RMD3
D3YZN4,D3YZN4
Q3UM45,PP1R7
Q3UMR5,MCU
Q3UNH4,GRIN1
Q3UQ44,IQGA2
F8WIH0,F8WIH0
Q3URS9-2,CCD51
Z4YJR7,Z4YJR7
Q3UTQ8-2,CDKL5
Q8BRB6,Q8BRB6
Q3UVK0,ERMP1
Q3UVX5,GRM5
E9Q0K9,E9Q0K9
Q3V3V9-2,CARL2
Q4ACU6,SHAN3
Q4KMM3-4,OXR1
A2AGS6,A2AGS6
Q4QQM5-2,MIGA1
Q4V9Z5-3,SE6L2
A0A087WNP6,A0A087WNP6
Q4VAE3,TMM65
Q501J6,DDX17
Q505D7,OPA3
Q505F5,LRC47
Q56A07,SCN2B
Q5DTL9-2,S4A10
Q5DTY9,KCD16
Q5DU41-2,LRC8B
Q5F285,TM256
Q5FWK3,RHG01
Q5GH67,XKR4
Q5HZI9,S2551
F8WHL1,F8WHL1
Q5M8N0,CNRP1
Q5PR73,DIRA2
D3Z5P0,D3Z5P0
Q5SQX6,CYFP2
Q5SRX1-3,TM1L2
E9PUE7,E9PUE7
Q5SSM3-2,RHG44
Q5SUC9,SCO1
A0A0J9YV86,A0A0J9YV86
Q5U458,DJC11
Q5XG69,F169A
Q5XG73-2,ACBD5
A0A0R4J0W7,A0A0R4J0W7
Q921L6,Q921L6
Q60605-2,MYL6
Q60625,ICAM5
Q60631-2,GRB2
Q60634-3,FLOT2
Q60668-3,HNRPD
Q60714,S27A1
Q60771,CLD11
Q60864,STIP1
Q60865,CAPR1
Q60875,ARHG2
B1AXZ0,B1AXZ0
A0A1D5RLS1,A0A1D5RLS1
Q60930,VDAC2
Q60931,VDAC3
Q60932-2,VDAC1
Q60936,COQ8A
Q60972,RBBP4
G3X9Q2,G3X9Q2
Q61029-3,LAP2B
Q61081,CDC37
Q5SXE4,Q5SXE4
Q61102,ABCB7
Q61137-2,ASTN1
Q61151,2A5E
Q61166,MARE1
Q61171,PRDX2
Q61187,TS101
E9PZ00,E9PZ00
Q61290,CAC1E
Q61330,CNTN2
Q61335,BAP31
Q61361,PGCB
Q61387,COX7R
Q61411,RASH
Q61481,PDE1A
E9Q4G8,E9Q4G8
F8WHM5,F8WHM5
E9Q9A3,E9Q9A3
Q61553,FSCN1
Q61598-2,GDIB
Q61644,PACN1
Q61656,DDX5
Q61699-2,HS105
Q61753,SERA
Q61768,KINH
Q61771,KIF3B
Q61792,LASP1
Q61879,MYH10
Q3UY21,Q3UY21
Q9DAY9,Q9DAY9
Q61941,NNTM
A0A2R8VI12,A0A2R8VI12
Q62059-3,CSPG2
Q62093,SRSF2
Q62108-3,DLG4
Q62167,DDX3X
Q3TT92,Q3TT92
Q62189,SNRPA
Q62261,SPTB2
Q62277,SYPH
Q62283,TSN7
D3Z637,D3Z637
Q62418-3,DBNL
Q62419,SH3G1
Q8BXU5,Q8BXU5
A0A0N4SVQ1,A0A0N4SVQ1
Q62433,NDRG1
Q62442-2,VAMP1
Q62443,NPTX1
Q62465,VAT1
D3Z3G6,D3Z3G6
Q63912,OMGP
Q8JZR2,Q8JZR2
Q640R3,HECAM
Q64133,AOFA
Q641P0,ARP3B
E9Q3L1,E9Q3L1
Q64332,SYN2
Q64433,CH10
Q64444,CAH4
Q64487,PTPRD
Q64516-1,GLPK
Q64521,GPDM
Q64727,VINC
A0A0A6YVT1,A0A0A6YVT1
Q68ED2,GRM7
Q68EF6,BEGIN
Q5SXR6,Q5SXR6
D3YTS3,D3YTS3
Q68FF6,GIT1
Q68FH0,PKP4
Q68FM6,PPR29
Q69Z38,PEAK1
G3UZ19,G3UZ19
Q69ZU6,THS7A
Q69ZW3,EHBP1
H7BX26,H7BX26
Q6A0A9,F120A
Q6DFV3,RHG21
Q6GQS1,SCMC3
Q6GQT9,NOMO1
Q6IRU5-2,CLCB
Q6NS52,DGKB
Q6NS60,FBX41
D3Z5I7,D3Z5I7
A0A0J9YUS5,A0A0J9YUS5
Q6NZL0,SOGA3
A0A0G2JFG4,A0A0G2JFG4
Q9CWU3,Q9CWU3
Q6P9K8-2,CSKI1
E9Q2X2,E9Q2X2
Q6PA06,ATLA2
Q6PB66,LPPRC
Q6PCP5,MFF
Q6PD26,PIGS
Q6PE13,PRRT3
Q6PER3,MARE3
B1AS06,B1AS06
Q6PGF7,EXOC8
Q6PGN3-2,DCLK2
Q6PH08,ERC2
Q6PHN9,RAB35
Q6PHS9-4,CA2D2
Q6PHU5,SORT
Q6PIC6,AT1A3
D3YYN7,D3YYN7
Q6R891,NEB2
Q6RUT7,CSMT1
Q6URW6-2,MYH14
Q6WQJ1,DGLA
A2AMH3,A2AMH3
Q6ZPE2,MTMR5
Q6ZPQ6-2,PITM2
Q6ZQ18,EFR3B
Q6ZQ38,CAND1
Q6ZQI3,MLEC
Q6ZWN5,RS9
Q6ZWR6-4,SYNE1
Q6ZWX6,IF2A
Q6ZWY8,TYB10
Q76MZ3,2AAA
Q78IK2,ATPMD
Q78IK4,MIC27
Q78PY7,SND1
Q78ZA7,NP1L4
Q791T5-2,MTCH1
Q791V5,MTCH2
Q7M6Y3-2,PICAL
A0A0G2JGY9,A0A0G2JGY9
A0A0R4J275,A0A0R4J275
G3UXJ6,G3UXJ6
Q7TMM9,TBB2A
Q7TNR6,IGS21
Q7TNS2,MIC10
A0A0R3P9D0,A0A0R3P9D0
E9Q6A0,E9Q6A0
Q7TQ95,LNP
Q7TQD2,TPPP
Q7TQF7,AMPH
A0A087WP13,A0A087WP13
Q7TQI3,OTUB1
Q7TSH8,TMM94
Q7TSJ2,MAP6
Q7TT50,MRCKB
Q80SW1,SAHH2
Q80SZ7,GBG5
Q80T41,GABR2
Q80TE7,LRRC7
Q80TJ1,CAPS1
A0A1D5RL96,A0A1D5RL96
Q80TL0,PPM1E
Q80TL1,ADCY2
Q80TL4,PHF24
Q80TQ2,CYLD
