uniprot,gene
P61160,ARP2
P61163,ACTZ
P84077,ARF1
P61224,RAP1B
P61225,RAP2B
D6RB09,D6RB09
P61266,STX1B
P61421,VA0D1
P61586,RHOA
A0A1B0GWF2,A0A1B0GWF2
F5H895,F5H895
P61925,IPKA
P61956,SUMO2
P61960,UFM1
P61978,HNRPK
P61981,1433G
P62070,RRAS2
P62072,TIM10
P62140,PP1B
J3KTQ9,J3KTQ9
Q5JR95,Q5JR95
P62258,1433E
P62263,RS14
P62269,RS18
P62277,RS13
P62318,SMD3
P62328,TYB4
P62424,RL7A
P62701,RS4X
P62714,PP2AB
P62745,RHOB
P62750,RL23A
P62760,VISL1
P62805,H4
P62820,RAB1A
P62826,RAN
P62834,RAP1A
P62851,RS25
P62873,GBB1
P62877,RBX1
P62879,GBB2
P62899,RL31
P62913,RL11
G3V1A1,G3V1A1
P62937,PPIA
P63000,RAC1
P63010,AP2B1
J3QRU4,J3QRU4
P63092,GNAS2
P63096,GNAI1
P63104,1433Z
P63215,GBG3
P63218,GBG5
Q8WVC2,Q8WVC2
I3L397,I3L397
P63313,TYB10
Q5VTE0,EF1A3
K7EMV3,K7EMV3
P78352,DLG4
P78357,CNTP1
P78371,TCPB
P78559,MAP1A
P80404,GABT
U3KQP0,U3KQP0
P84095,RHOG
F8VVM2,F8VVM2
Q00577,PURA
Q00610,CLH1
A0A1W2PP35,A0A1W2PP35
Q01082,SPTB2
J3QL05,J3QL05
Q01484,ANK2
Q01518,CAP1
Q02156,KPCE
A0A1W2PQJ4,A0A1W2PQJ4
G3V4Z4,G3V4Z4
Q02641,CACB1
Q02750,MP2K1
I3L1P8,I3L1P8
E7EX73,E7EX73
Q04917,1433F
Q05586,NMDZ1
Q05639,EF1A2
A0A0A0MSI0,A0A0A0MSI0
Q07065,CKAP4
Q07954,LRP1
Q08174,PCDH1
Q08209,PP2BA
A0A494C184,A0A494C184
Q08462,ADCY2
Q08495,DEMA
A0A087WSZ7,A0A087WSZ7
H7BYS8,H7BYS8
Q08AD1,CAMP2
Q10567,AP1B1
Q12767,TMM94
Q12860,CNTN1
C9JB16,C9JB16
Q12955,ANK3
A0A0C4DFT3,A0A0C4DFT3
A0A0G2JQ41,A0A0G2JQ41
A0A0A0MRL4,A0A0A0MRL4
Q13049,TRI32
K7EJM5,K7EJM5
E9PM17,E9PM17
Q13224,NMDE2
Q5TG80,Q5TG80
E9PGB1,E9PGB1
Q13367,AP3B2
Q13409,DC1I2
E9PCX7,E9PCX7
Q13442,HAP28
Q13449,LSAMP
Q13491,GPM6B
Q13492,PICAL
Q13509,TBB3
Q13554,KCC2B
H0YI98,H0YI98
Q13740,CD166
Q13825,AUHM
Q13885,TBB2A
F5H522,F5H522
Q14008,CKAP5
D6RAF8,D6RAF8
Q14156,EFR3A
Q14157,UBP2L
E9PD68,E9PD68
Q14195,DPYL3
E7EX90,E7EX90
Q14204,DYHC1
Q14240,IF4A2
Q14247,SRC8
J3QLD9,J3QLD9
Q14289,FAK2
A0A0A0MTJ1,A0A0A0MTJ1
Q14344,GNA13
Q14416,GRM2
E9PLA9,E9PLA9
Q5T1B5,Q5T1B5
A0A3B3ITU8,A0A3B3ITU8
H0Y8C4,H0Y8C4
H7C3K2,H7C3K2
Q14832,GRM3
Q14847,LASP1
Q14974,IMB1
Q14982,OPCM
Q14BN4,SLMAP
Q15019,SEPT2
Q15056,IF4H
Q15149,PLEC
Q15223,NECT1
F5H157,F5H157
Q15365,PCBP1
H7C003,H7C003
Q15691,MARE1
Q15717,ELAV1
Q15818,NPTX1
Q15819,UB2V2
F8W9Z1,F8W9Z1
Q15907,RB11B
Q16134,ETFD
Q16143,SYUB
E7ES33,E7ES33
Q16352,AINX
A0A0C4DFZ1,A0A0C4DFZ1
D6R9W4,D6R9W4
C9JTE0,C9JTE0
Q16658,FSCN1
Q16720,AT2B3
F5GY40,F5GY40
E9PMB9,E9PMB9
Q16851,UGPA
C9J406,C9J406
Q2M2I8,AAK1
Q3SXM5,HSDL1
Q4G0F5,VP26B
E9PG39,E9PG39
Q5JTD7,LRC73
Q5JU85,IQEC2
Q5R3F8,PPR29
Q5T5C0,STXB5
E7ESW5,E7ESW5
A0A3B3IUC3,A0A3B3IUC3
B7Z2R7,B7Z2R7
E9PJP2,E9PJP2
A0A087WU07,A0A087WU07
Q5VT06,CE350
A0A0A0MRJ0,A0A0A0MRJ0
Q68DU8,KCD16
F8WD64,F8WD64
Q6DN90,IQEC1
Q6IAA8,LTOR1
Q6IQ22,RAB12
Q6KCM7,SCMC2
Q6PCE3,PGM2L
Q6PI78,TMM65
Q6PUV4,CPLX2
E7EW28,E7EW28
H3BN26,H3BN26
Q6VY07,PACS1
Q6ZSJ9,SHSA6
Q6ZVL6,K154L
F5H3S6,F5H3S6
E9PLS0,E9PLS0
Q7KZF4,SND1
E7ETY4,E7ETY4
Q7L099,RUFY3
Q7L0J3,SV2A
W4VSQ3,W4VSQ3
Q7Z3B1,NEGR1
Q7Z3G6,PRIC2
Q7Z406,MYH14
H0Y5T1,H0Y5T1
Q7Z7H5,TMED4
Q86U42,PABP2
Q86UN3,R4RL2
Q86UP2,KTN1
Q86UR5,RIMS1
Q86V81,THOC4
Q86VP6,CAND1
B1AJQ6,B1AJQ6
Q86YM7,HOME1
Q8IV01,SYT12
Q8IWQ3,BRSK2
Q8IWT6,LRC8A
H7BXZ6,H7BXZ6
Q8IXS6,PALM2
Q8IZP0,ABI1
Q8IZS8,CA2D3
Q8N126,CADM3
G3V119,G3V119
Q8N3J6,CADM2
Q8N3V7,SYNPO
Q8N4C8,MINK1
Q8N4V2,SVOP
Q8N608,DPP10
Q8N766,EMC1
Q8N8S7,ENAH
Q8N9I0,SYT2
H3BSW0,H3BSW0
Q8NBU5,ATAD1
Q8NC51,PAIRB
F5GYH1,F5GYH1
E7ETR1,E7ETR1
S4R468,S4R468
Q8NFZ8,CADM4
Q8TAC9,SCAM5
Q8TB36,GDAP1
Q8TBG9,SYNPR
Q8TD08,MK15
Q8TD22,SFXN5
Q8TDC3,BRSK1
Q8TDJ6,DMXL2
Q8TEA8,DTD1
Q8TF61,FBX41
Q8WUM4,PDC6I
Q8WXD9,CSKI1
Q8WXF7,ATLA1
A0A0A0MRB5,A0A0A0MRB5
Q8WXI2,CNKR2
Q8WXI7,MUC16
A0A1X7SBR8,A0A1X7SBR8
Q8WZA2,RPGF4
F1T0B3,F1T0B3
Q92506,DHB8
Q92558,WASF1
E5RHN5,E5RHN5
Q92598,HS105
A0A087X142,A0A087X142
A0A0D9SFK2,A0A0D9SFK2
H7BY35,H7BY35
Q92752,TENR
Q92777,SYN2
Q92796,DLG3
C9JYY6,C9JYY6
A0A1X7SBZ2,A0A1X7SBZ2
Q59FP8,Q59FP8
Q92896,GSLG1
A0A087WTP3,A0A087WTP3
Q92974,ARHG2
Q93008,USP9X
Q93050,VPP1
K7EIK1,K7EIK1
Q969V3,NCLN
Q969X5,ERGI1
Q96A65,EXOC4
Q96AG4,LRC59
Q5VSN0,Q5VSN0
Q96BQ5,CC127
Q96C19,EFHD2
A0A087WY71,A0A087WY71
Q96CX2,KCD12
Q96DA6,TIM14
Q96F07,CYFP2
Q96FJ2,DYL2
Q96FW1,OTUB1
Q96HU8,DIRA2
Q96ID5,IGS21
Q96JE9,MAP6
