uniprot,gene
B0YIW6,B0YIW6
P48539,PCP4
P48643,TCPE
P48735,IDHP
P49006,MRP
A0A0U1RQF0,A0A0U1RQF0
P49368,TCPG
P49411,EFTU
P49418,AMPH
P49588,SYAC
P49591,SYSC
P49755,TMEDA
P49802,RGS7
G3V0I5,G3V0I5
P49840,GSK3A
P49841,GSK3B
P49915,GUAA
P50148,GNAQ
P50150,GBG4
P50213,IDH3A
P50395,GDIB
H7C3I1,H7C3I1
E7EPB3,E7EPB3
P50990,TCPQ
P50991,TCPD
P50993,AT1A2
P51148,RAB5C
P51149,RAB7A
P51553,IDH3G
A0A2R8Y5M6,A0A2R8Y5M6
P51608,MECP2
C9J8Q5,C9J8Q5
P51665,PSMD7
P51674,GPM6A
K7EQJ4,K7EQJ4
P51991,ROA3
A0A087X0X3,A0A087X0X3
P52306,GDS1
I3L112,I3L112
J3KTF8,J3KTF8
P52815,RM12
P53396,ACLY
P53597,SUCA
P53618,COPB
A0A3B3ISC6,A0A3B3ISC6
P53680,AP2S1
P54284,CACB3
P54289,CA2D1
P54652,HSP72
E9PG71,E9PG71
P54920,SNAA
G3XAL9,G3XAL9
P55072,TERA
Q5TIG5,Q5TIG5
P55209,NP1L1
P55290,CAD13
E9PLK3,E9PLK3
P55795,HNRH2
P55809,SCOT1
Q5VTU8,AT5EL
P57105,SYJ2B
P59190,RAB15
P59768,GBG2
F8WDD7,F8WDD7
P60174,TPIS
P60201,MYPR
H3BSM5,H3BSM5
F8W1R7,F8W1R7
P60842,IF4A1
P60880,SNP25
B1ALA9,B1ALA9
P60953,CDC42
F6RFD5,F6RFD5
G3V4P8,G3V4P8
P61006,RAB8A
P61011,SRP54
P61019,RAB2A
P61020,RAB5B
P61026,RAB10
P61088,UBE2N
P61106,RAB14
P61158,ARP3
P61160,ARP2
P61163,ACTZ
B4DIH5,B4DIH5
P84077,ARF1
P61224,RAP1B
P61225,RAP2B
D6RG13,D6RG13
J3KSS0,J3KSS0
P61266,STX1B
P61313,RL15
P61421,VA0D1
P61586,RHOA
P61601,NCALD
P61604,CH10
A0A0D9SG72,A0A0D9SG72
F8W651,F8W651
P61978,HNRPK
P61981,1433G
P62072,TIM10
P62081,RS7
P62136,PP1A
P62191,PRS4
J3QQM1,J3QQM1
P62241,RS8
P62258,1433E
P62263,RS14
P62269,RS18
P62277,RS13
P62280,RS11
P62328,TYB4
P62333,PRS10
P62424,RL7A
P62701,RS4X
P62714,PP2AB
P62745,RHOB
P62750,RL23A
P62753,RS6
P62760,VISL1
P62805,H4
P62820,RAB1A
P62826,RAN
C9JD32,C9JD32
P62834,RAP1A
K7EM56,K7EM56
P62851,RS25
P62857,RS28
P62861,RS30
P62873,GBB1
P62879,GBB2
A0A0B4J213,A0A0B4J213
P62906,RL10A
P62913,RL11
G3V1A1,G3V1A1
P62937,PPIA
P62987,RL40
P62993,GRB2
P63000,RAC1
P63010,AP2B1
J3QRU4,J3QRU4
P63092,GNAS2
P63096,GNAI1
F6U1T9,F6U1T9
P63104,1433Z
E5RIY1,E5RIY1
P63167,DYL1
E5RJR5,E5RJR5
P63215,GBG3
P63218,GBG5
Q8WVC2,Q8WVC2
I3L397,I3L397
D6RAC2,D6RAC2
P63313,TYB10
P68133,ACTS
Q5VTE0,EF1A3
P68366,TBA4A
P68371,TBB4B
A0A2R8Y5A0,A0A2R8Y5A0
P68402,PA1B2
K7EMV3,K7EMV3
P69905,HBA
P78324,SHPS1
D3DQV9,D3DQV9
B7Z647,B7Z647
P78356,PI42B
P78357,CNTP1
P78362,SRPK2
P78371,TCPB
P78559,MAP1A
P80404,GABT
U3KQP0,U3KQP0
P83111,LACTB
C9J1Z8,C9J1Z8
P84090,ERH
P84095,RHOG
I3L471,I3L471
Q00341,VIGLN
Q00535,CDK5
Q00577,PURA
Q00610,CLH1
A0A1W2PP35,A0A1W2PP35
Q01082,SPTB2
J3QL05,J3QL05
Q01484,ANK2
Q5T0R7,Q5T0R7
Q01813,PFKAP
Q01814,AT2B2
B7Z685,B7Z685
Q02156,KPCE
A0A1B0GTL7,A0A1B0GTL7
Q02252,MMSA
Q02338,BDH
Q02641,CACB1
Q02750,MP2K1
Q02878,RL6
I3L1P8,I3L1P8
Q04917,1433F
A0A0U1RQP1,A0A0U1RQP1
A0A3B3IU09,A0A3B3IU09
Q05586,NMDZ1
Q05639,EF1A2
A0A0A0MSI0,A0A0A0MSI0
F8VYV2,F8VYV2
Q07065,CKAP4
Q07954,LRP1
Q07960,RHG01
Q08174,PCDH1
Q08209,PP2BA
Q08495,DEMA
A0A087WSZ7,A0A087WSZ7
H7BYS8,H7BYS8
Q08752,PPID
Q09666,AHNK
Q10567,AP1B1
A0A1W2PNX9,A0A1W2PNX9
Q12860,CNTN1
Q12904,AIMP1
X6R6Z1,X6R6Z1
Q12955,ANK3
